id	institution	display	n_candidates	best_kind	best_conf	best_host	best_url	last_error
Leiden_UB_VMI_11_COD	leiden universitaire bibliotheken	Leiden, Universitaire Bibliotheken, VMI 11	1	catalogue_or_other	medium	elmss.nuigalway.ie	https://elmss.nuigalway.ie/catalogue/317	
clat_403	leiden universiteitsbibliotheek	Leiden, Universiteitsbibliotheek, 26	4	archive_org	low	archive.org	https://archive.org/details/goedgezintieneeu0000unse	
clat_288	leiden universiteitsbibliotheek	Leiden, Universiteitsbibliotheek, 5	9	archive_org	low	archive.org	https://archive.org/details/4.Des.ErasmiOperaOmniaTIVOsterreichNationalbibliothek	http_404
clat_407	león archivo de la catedral	León, Archivo de la Catedral, 8	5	archive_org	low	archive.org	https://archive.org/details/alberto-de-carvalho-memoria-a-respeito-da-sepultura-rasa-de-pedro-alvares-cabral-1902	
clat_357	london british library	London, British Library, 12 D IV (12 D 4)	8	archive_org	low	archive.org	https://archive.org/details/TheRomanHistoryWithNotesHistoricalGeographicalAndCriticalVol1	
clat_358	london british library	London, British Library, 12 F II (12 F 2)	8	archive_org	low	archive.org	https://archive.org/details/TheRomanHistoryWithNotesHistoricalGeographicalAndCriticalVol1	
clat_393	london british library	London, British Library, 19725	2	archive_org	low	archive.org	https://archive.org/details/historyriseprog02clargoog	
clat_162	london british library	London, British Library, 2030	5	archive_org	low	archive.org	https://archive.org/details/chronicleoflond1898lond_3	
clat_156	london british library	London, British Library, 2506	4	archive_org	low	archive.org	https://archive.org/details/cia-readingroom-document-cia-rdp83-00423r000900930002-8	
clat_161	london british library	London, British Library, 263	8	archive_org	low	archive.org	https://archive.org/details/ExtrasensoryPerceptionResearchFinding	
clat_444	london british library	London, British Library, 2902	2	archive_org	low	archive.org	https://archive.org/details/commentariesonc03burggoog	
clat_416	london british library	London, British Library, 332	8	archive_org	low	archive.org	https://archive.org/details/ExtrasensoryPerceptionResearchFinding	
clat_150	london british library	London, British Library, 356	8	archive_org	low	archive.org	https://archive.org/details/ibogaine_literature	
clat_359	london british library	London, British Library, 3667	1	archive_org	low	archive.org	https://archive.org/details/cihm_46303	
clat_604	london british library	London, British Library, 37517	2	archive_org	low	archive.org	https://archive.org/details/HM56911_43	
clat_373	london british library	London, British Library, 377	8	archive_org	low	archive.org	https://archive.org/details/ExtrasensoryPerceptionResearchFinding	
clat_159	london british library	London, British Library, 3969	2	archive_org	low	archive.org	https://archive.org/details/stereoatlasofost16athe	
clat_548	london british library	London, British Library, 7 F VIII (7 F 8)	8	archive_org	low	archive.org	https://archive.org/details/ExtrasensoryPerceptionResearchFinding	
clat_370	london british library	London, British Library, 843	6	archive_org	low	archive.org	https://archive.org/details/ParthiansSassanidsAndArabs	
clat_360	london british library	London, British Library, Cleopatra A VII (Cleopatra A 7)	5	archive_org	low	archive.org	https://archive.org/details/TheAncrenRiwle	
clat_362	london british library	London, British Library, Julius A VI part 1 (Julius A 4 part 1)	5	archive_org	low	archive.org	https://archive.org/details/ExtrasensoryPerceptionResearchFinding	
clat_371	london british library	London, British Library, Nero D II (Nero D 2)	4	archive_org	low	archive.org	https://archive.org/details/TheAncrenRiwle	
clat_153	london british library	London, British Library, Tiberius B V Part I (Tiberius B 4 Part 1)	5	archive_org	low	archive.org	https://archive.org/details/pilgrimagelifem01locogoog	
clat_364	london british library	London, British Library, Tiberius B V part 1 (Tiberius B 5 part 1)	5	archive_org	low	archive.org	https://archive.org/details/pilgrimagelifem01locogoog	
clat_434	london british library	London, British Library, Tiberius B V/1 (Tiberius B 5/1)	8	archive_org	low	archive.org	https://archive.org/details/kingalfredswest00sweegoog	
clat_154	london british library	London, British Library, Tiberius C I (Tiberius 100 1)	5	archive_org	low	archive.org	https://archive.org/details/facsimilesofhora00cath	
wellcome_3	london wellcome collection ms.3	London, Wellcome Collection MS.3	9	catalogue_or_other	medium	portail.biblissima.fr	https://portail.biblissima.fr/ark:/43093/mdata85bbefdb7ac63305e703e52b1c1c8bb0c014a9ce	
clat_680	los angeles john paul getty museum	Los Angeles, John Paul Getty Museum, V 2	8	archive_org	medium	archive.org	https://archive.org/details/alfredstieglitzp0000stie_n6t8	
clat_607	madrid real academia de la historia	Madrid, Real Academia de la Historia, 18	8	archive_org	medium	archive.org	https://archive.org/details/historiageneraly01fern	
clat_666	madrid real academia de la historia	Madrid, Real Academia de la Historia, 36	8	archive_org	medium	archive.org	https://archive.org/details/historiageneraly01fern	
clat_679	mainz domschatz	Mainz, Domschatz, 4	4	archive_org	low	archive.org	https://archive.org/details/isbn_9783795425838	
clat_565	manchester john rylands university library	Manchester, John Rylands University Library, 116	6	archive_org	medium	archive.org	https://archive.org/details/bulletinofjohnry2219unse	
clat_507	milan biblioteca ambrosiana	Milan, Biblioteca Ambrosiana, A 3 sup.	8	archive_org	medium	archive.org	https://archive.org/details/ilcanzoniereprov00bert	
MILAN_BA_H_150_COD	milan biblioteca ambrosiana	Milan, Biblioteca Ambrosiana, H 150 inf.	1	catalogue_or_other	medium	ambrosiana.comperio.it	https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:58504	
clat_390	montecassino archivio della badia	Montecassino, Archivio della Badia, 2	1	archive_org	medium	archive.org	https://archive.org/details/necrologyofsanni00hilk	
clat_167	montecassino archivio della badia	Montecassino, Archivio della Badia, 3	1	archive_org	medium	archive.org	https://archive.org/details/necrologyofsanni00hilk	
bsb_clm_14770	munich bayerische staatsbibliothek clm 14770	Munich, Bayerische Staatsbibliothek Clm 14770	1	catalogue_or_other	medium	portail.biblissima.fr	https://portail.biblissima.fr/en/ark:/43093/mdata8ea49060613e4847617f4945bcd33693db2839f0	
bsb_clm_18158	munich bayerische staatsbibliothek clm 18158	Munich, Bayerische Staatsbibliothek Clm 18158	1	catalogue_or_other	medium	portail.biblissima.fr	https://portail.biblissima.fr/en/ark:/43093/mdata29a80bbe5ac0163d476d20d9667dbdf712bf466c	
bsb_clm_4376	munich bayerische staatsbibliothek clm 4376	Munich, Bayerische Staatsbibliothek Clm 4376	1	catalogue_or_other	medium	portail.biblissima.fr	https://portail.biblissima.fr/en/ark:/43093/mdatacb4524e5c5e9966832f245e76e8535e86a2408df	
bsb_clm_4382	munich bayerische staatsbibliothek clm 4382	Munich, Bayerische Staatsbibliothek Clm 4382	1	catalogue_or_other	medium	portail.biblissima.fr	https://portail.biblissima.fr/en/ark:/43093/mdata166e92dad13763d2916b7ff5457a682d1dd281e8	
clat_188	new york pierpont morgan library	New York, Pierpont Morgan Library, M 857	4	archive_org	low	archive.org	https://archive.org/details/jpierpontmorganc0000wads	
nypl_computus_text_3	nypl computus text 3	nypl computus text 3	1	archive_org	low	archive.org	https://archive.org/details/NYPLMA069_41	
clat_200	oxford bodleian library	Oxford, Bodleian Library, 118	8	archive_org	low	archive.org	https://archive.org/details/opera00aris	
clat_199	oxford bodleian library	Oxford, Bodleian Library, 176	8	archive_org	medium	archive.org	https://archive.org/details/earlybodleianmus03unse	
clat_253	oxford bodleian library	Oxford, Bodleian Library, 193	6	archive_org	medium	archive.org	https://archive.org/details/bookofhoursforen0000mast	
clat_202	oxford bodleian library	Oxford, Bodleian Library, 223	7	archive_org	medium	archive.org	https://archive.org/details/MS_Broxbourne_84_3	
clat_193	oxford bodleian library	Oxford, Bodleian Library, 279	8	archive_org	low	archive.org	https://archive.org/details/opera00aris	
clat_195	oxford bodleian library	Oxford, Bodleian Library, 28	8	archive_org	medium	archive.org	https://archive.org/details/thebanostracaedi00royauoft	
clat_499	oxford bodleian library	Oxford, Bodleian Library, 39	8	archive_org	low	archive.org	https://archive.org/details/shakespearessonn00shakrich	
clat_201	oxford bodleian library	Oxford, Bodleian Library, 594	4	archive_org	low	archive.org	https://archive.org/details/discoveryofwitch0000hark_l9w9	
clat_196	oxford bodleian library	Oxford, Bodleian Library, 63	8	archive_org	low	archive.org	https://archive.org/details/biblialatina01egge	
clat_203	oxford new college library	Oxford, New College Library, 104	6	archive_org	low	archive.org	https://archive.org/details/ExtrasensoryPerceptionResearchFinding	
clat_204	oxford new college library	Oxford, New College Library, 252	5	archive_org	low	archive.org	https://archive.org/details/marriagedivorcec0000unse	
pal_lat_1407	pal lat 1407	pal lat 1407	6	archive_org	low	archive.org	https://archive.org/details/cia-readingroom-document-cia-rdp80-00809a000700230003-1	
clat_271	paris bibliothèque nationale de france	Paris, Bibliothèque Nationale de France, 10487 (formerly 10457)	8	archive_org	medium	archive.org	https://archive.org/details/noticesetextrai01goog	
clat_601	paris bibliothèque nationale de france	Paris, Bibliothèque Nationale de France, 11589	8	archive_org	medium	archive.org	https://archive.org/details/noticesetextrai01goog	
clat_542	paris bibliothèque nationale de france	Paris, Bibliothèque Nationale de France, 12052	8	archive_org	medium	archive.org	https://archive.org/details/noticesetextrai01goog	
clat_343	paris bibliothèque nationale de france	Paris, Bibliothèque Nationale de France, 14088	8	archive_org	medium	archive.org	https://archive.org/details/noticesetextrai01goog	
clat_506	paris bibliothèque nationale de france	Paris, Bibliothèque Nationale de France, 1417	8	archive_org	medium	archive.org	https://archive.org/details/noticesetextrai01goog	
clat_341	paris bibliothèque nationale de france	Paris, Bibliothèque Nationale de France, 15170	8	archive_org	medium	archive.org	https://archive.org/details/noticesetextrai01goog	
clat_137	paris bibliothèque nationale de france	Paris, Bibliothèque Nationale de France, 1612	8	archive_org	medium	archive.org	https://archive.org/details/noticesetextrai01goog	
clat_138	paris bibliothèque nationale de france	Paris, Bibliothèque Nationale de France, 1613	8	archive_org	medium	archive.org	https://archive.org/details/noticesetextrai01goog	
clat_139	paris bibliothèque nationale de france	Paris, Bibliothèque Nationale de France, 1614	8	archive_org	medium	archive.org	https://archive.org/details/noticesetextrai01goog	
clat_344	paris bibliothèque nationale de france	Paris, Bibliothèque Nationale de France, 1616	8	archive_org	medium	archive.org	https://archive.org/details/noticesetextrai01goog	
clat_297	paris bibliothèque nationale de france	Paris, Bibliothèque Nationale de France, 1645	8	archive_org	medium	archive.org	https://archive.org/details/noticesetextrai01goog	
clat_132	paris bibliothèque nationale de france	Paris, Bibliothèque Nationale de France, 16680	8	archive_org	medium	archive.org	https://archive.org/details/noticesetextrai01goog	
clat_134	paris bibliothèque nationale de france	Paris, Bibliothèque Nationale de France, 176	8	archive_org	medium	archive.org	https://archive.org/details/noticesetextrai01goog	
clat_651	paris bibliothèque nationale de france	Paris, Bibliothèque Nationale de France, 18005	8	archive_org	medium	archive.org	https://archive.org/details/noticesetextrai01goog	
clat_133	paris bibliothèque nationale de france	Paris, Bibliothèque Nationale de France, 18461	8	archive_org	medium	archive.org	https://archive.org/details/noticesetextrai01goog	
clat_395	paris bibliothèque nationale de france	Paris, Bibliothèque Nationale de France, 2169	8	archive_org	medium	archive.org	https://archive.org/details/noticesetextrai01goog	
clat_533	paris bibliothèque nationale de france	Paris, Bibliothèque Nationale de France, 2183	8	archive_org	medium	archive.org	https://archive.org/details/noticesetextrai01goog	
clat_135	paris bibliothèque nationale de france	Paris, Bibliothèque Nationale de France, 229	8	archive_org	medium	archive.org	https://archive.org/details/noticesetextrai01goog	
clat_106	paris bibliothèque nationale de france	Paris, Bibliothèque Nationale de France, 2796	8	archive_org	medium	archive.org	https://archive.org/details/noticesetextrai01goog	
clat_136	paris bibliothèque nationale de france	Paris, Bibliothèque Nationale de France, 456	8	archive_org	medium	archive.org	https://archive.org/details/noticesetextrai01goog	
clat_108	paris bibliothèque nationale de france	Paris, Bibliothèque Nationale de France, 4883 A	8	archive_org	medium	archive.org	https://archive.org/details/noticesetextrai01goog	
clat_109	paris bibliothèque nationale de france	Paris, Bibliothèque Nationale de France, 5001	8	archive_org	medium	archive.org	https://archive.org/details/noticesetextrai01goog	
clat_110	paris bibliothèque nationale de france	Paris, Bibliothèque Nationale de France, 5009	8	archive_org	medium	archive.org	https://archive.org/details/noticesetextrai01goog	
clat_111	paris bibliothèque nationale de france	Paris, Bibliothèque Nationale de France, 5239	8	archive_org	medium	archive.org	https://archive.org/details/noticesetextrai01goog	
clat_396	paris bibliothèque nationale de france	Paris, Bibliothèque Nationale de France, 609	8	archive_org	medium	archive.org	https://archive.org/details/noticesetextrai01goog	
clat_605	paris bibliothèque nationale de france	Paris, Bibliothèque Nationale de France, 7271	8	archive_org	medium	archive.org	https://archive.org/details/noticesetextrai01goog	
clat_117	paris bibliothèque nationale de france	Paris, Bibliothèque Nationale de France, 7299 A	8	archive_org	medium	archive.org	https://archive.org/details/noticesetextrai01goog	
clat_543	paris bibliothèque nationale de france	Paris, Bibliothèque Nationale de France, 817	8	archive_org	medium	archive.org	https://archive.org/details/noticesetextrai01goog	
clat_579	paris bibliothèque nationale de france	Paris, Bibliothèque Nationale de France, 819	8	archive_org	medium	archive.org	https://archive.org/details/noticesetextrai01goog	
clat_599	paris bibliothèque nationale de france	Paris, Bibliothèque Nationale de France, 821	8	archive_org	medium	archive.org	https://archive.org/details/noticesetextrai01goog	
clat_537	paris bibliothèque nationale de france	Paris, Bibliothèque Nationale de France, 9429	8	archive_org	medium	archive.org	https://archive.org/details/noticesetextrai01goog	
clat_602	paris bibliothèque nationale de france	Paris, Bibliothèque Nationale de France, 9430	8	archive_org	medium	archive.org	https://archive.org/details/noticesetextrai01goog	
clat_535	paris bibliothèque nationale de france	Paris, Bibliothèque Nationale de France, 9433	8	archive_org	medium	archive.org	https://archive.org/details/noticesetextrai01goog	
clat_598	paris bibliothèque nationale de france	Paris, Bibliothèque Nationale de France, 9436	8	archive_org	medium	archive.org	https://archive.org/details/noticesetextrai01goog	
clat_125	paris bibliothèque nationale de france	Paris, Bibliothèque Nationale de France, 9517	8	archive_org	medium	archive.org	https://archive.org/details/noticesetextrai01goog	
wellcome_103	provenance-conflicted local wellcome 103 asset	Provenance-conflicted local Wellcome 103 asset	1	catalogue_or_other	medium	portail.biblissima.fr	https://portail.biblissima.fr/ark:/43093/mdata550bef2824d796b93a85f82f82790fd011dda40f	
clat_613	rochester n.y. sibley music library	Rochester N.Y., Sibley Music Library, 1	3	archive_org	low	archive.org	https://archive.org/details/unenouvellecolle00olsc	
ROME_BC_641_COD	rome biblioteca casanatense	Rome, Biblioteca Casanatense, 641	1	catalogue_or_other	medium	www.mirabileweb.it	https://www.mirabileweb.it/manuscript/roma-biblioteca-casanatense-ms-641-manuscript/8311	
clat_209	rome biblioteca nazionale centrale	Rome, Biblioteca Nazionale Centrale, 33	8	archive_org	low	archive.org	https://archive.org/details/ita-bnc-mag-00001363-001	
ROME_BV_E_26_COD	rome biblioteca vallicelliana	Rome, Biblioteca Vallicelliana, E 26	5	archive_org	low	archive.org	https://archive.org/details/archivio11patrgoog	RemoteProtocolError: Server disconnected without sending a response.
clat_603	salisbury cathedral library	Salisbury, Cathedral Library, 150	2	archive_org	medium	archive.org	https://archive.org/details/b24864274	
sb_110_cod	sb 110 cod	sb 110 cod	8	archive_org	low	archive.org	https://archive.org/details/cia-readingroom-document-cia-rdp65-00756r000500020002-3	
